title,company,rating,reviews,experience,salary,location,posted,url
Marathi Opening For Customer Support- Voice Process,Teleperformance (TP),3.6,14571 Reviews,0-2 Yrs,"1,00,000 - 2,75,000 PA.","Bidar, Mumbai, Bangalore/Bengaluru(Bellandur +6), Belagavi/Belgaum",3 Days Ago,https://www.naukri.com/job-listings-marathi-opening-for-customer-support-voice-process-teleperformance-tp-bidar-mumbai-bangalore-bengaluru-belagavi-belgaum-0-to-2-years-300123002053
Genpact - Hiring For Customer Service -Non Voice Process,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-genpact-hiring-for-customer-service-non-voice-process-genpact-hyderabad-secunderabad-0-to-5-years-270123006951
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-230123011569
IT Hiring ONLY For PWD (Physical Disability) | Person With Disability,Rosh Services,,,2-7 Yrs,Not disclosed,"Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",29 Days Ago,https://www.naukri.com/job-listings-it-hiring-only-for-pwd-physical-disability-person-with-disability-rosh-services-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-2-to-7-years-221222012157
Genpact is Hiring For Customer Service - Voice Process ||  Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-genpact-is-hiring-for-customer-service-voice-process-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-240123007927
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,9 Days Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-240123007028
Talent Acquisition Specialist @ Scaler,Scaler Academy,2.7,2 Reviews,0-5 Yrs,"3,00,000 - 6,00,000 PA.","Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",5 Days Ago,https://www.naukri.com/job-listings-talent-acquisition-specialist-scaler-scaler-academy-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-280922011895
hiring For Customer Support Executive and Tele-sales,Careernet Technologies,,,0-3 Yrs,"50,000 - 3,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)(Airoli)",3 Days Ago,https://www.naukri.com/job-listings-hiring-for-customer-support-executive-and-tele-sales-careernet-technologies-bangalore-bengaluru-mumbai-all-areas-0-to-3-years-300123004333
Customer Service Associate,Manpowergroup Services India,,,0-2 Yrs,"1,25,000 - 3,50,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai, Bangalore/Bengaluru",1 Day Ago,https://www.naukri.com/job-listings-customer-service-associate-manpowergroup-services-india-mumbai-mumbai-suburban-navi-mumbai-bangalore-bengaluru-0-to-2-years-020223006421
Sr. Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-5 Yrs,"2,00,000 - 4,00,000 PA.",Mumbai (All Areas),3 Days Ago,https://www.naukri.com/job-listings-sr-customer-service-executive-teleperformance-tp-mumbai-all-areas-0-to-5-years-300123008444
Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-5 Yrs,"2,50,000 - 3,50,000 PA.",Mumbai,3 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-teleperformance-tp-mumbai-0-to-5-years-300123008410
Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-2 Yrs,"2,50,000 - 3,50,000 PA.","Mumbai, Mumbai Suburban",5 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-teleperformance-tp-mumbai-mumbai-suburban-0-to-2-years-170123006270
Assistant Professor- Special Education (Intellectual Disability),Amity University,3.8,786 Reviews,2-6 Yrs,Not disclosed,Noida,1 Day Ago,https://www.naukri.com/job-listings-assistant-professor-special-education-intellectual-disability-amity-university-noida-2-to-6-years-020223006403
Opening For People with Disability Only,Giftabled Foundation,3.5,4 Reviews,0-5 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",24 Days Ago,https://www.naukri.com/job-listings-opening-for-people-with-disability-only-giftabled-foundation-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-090123003904
Fullstack Software Developer opening For People with Disability Only,Giftabled Foundation,3.5,4 Reviews,2-6 Yrs,Not disclosed,"Hybrid - Pune, Bangalore/Bengaluru, Mumbai (All Areas)",13 Days Ago,https://www.naukri.com/job-listings-fullstack-software-developer-opening-for-people-with-disability-only-giftabled-foundation-pune-bangalore-bengaluru-mumbai-all-areas-2-to-6-years-200123012252
SBA/ AM/ Manager/ Senior Manager - Analytics - Group Disability,Huquo Consulting,,,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,2 Days Ago,https://www.naukri.com/job-listings-sba-am-manager-senior-manager-analytics-group-disability-huquo-consulting-gurgaon-gurugram-4-to-8-years-310123909606
SBA/AM/Manager/Senior Manager - Analytics - Group Disability,Huquo Consulting Pvt. Ltd,,,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago,https://www.naukri.com/job-listings-sba-am-manager-senior-manager-analytics-group-disability-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-8-years-300123907797
Intellectual Disability Service Manager -  Osborne,Osborne - Recruitment Consultancy,,,3-8 Yrs,Not disclosed,Chennai,30+ Days Ago,https://www.naukri.com/job-listings-intellectual-disability-service-manager-osborne-osborne-recruitment-consultancy-chennai-3-to-8-years-170418500830
Grade I ( Customer service executive),Teleperformance (TP),3.6,14571 Reviews,0-1 Yrs,Not disclosed,"Mumbai, Mohali, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",20 Days Ago,https://www.naukri.com/job-listings-grade-i-customer-service-executive-teleperformance-global-services-pvt-ltd-mumbai-mohali-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-0-to-1-years-130123910758
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,1 Day Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-020223006715
Marathi Opening For Customer Support- Voice Process,Teleperformance (TP),3.6,14571 Reviews,0-2 Yrs,"1,00,000 - 2,75,000 PA.","Bidar, Mumbai, Bangalore/Bengaluru(Bellandur +6), Belagavi/Belgaum",3 Days Ago,https://www.naukri.com/job-listings-marathi-opening-for-customer-support-voice-process-teleperformance-tp-bidar-mumbai-bangalore-bengaluru-belagavi-belgaum-0-to-2-years-300123002053
Genpact - Hiring For Customer Service -Non Voice Process,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-genpact-hiring-for-customer-service-non-voice-process-genpact-hyderabad-secunderabad-0-to-5-years-270123006951
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-230123011569
IT Hiring ONLY For PWD (Physical Disability) | Person With Disability,Rosh Services,,,2-7 Yrs,Not disclosed,"Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",29 Days Ago,https://www.naukri.com/job-listings-it-hiring-only-for-pwd-physical-disability-person-with-disability-rosh-services-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-2-to-7-years-221222012157
Genpact is Hiring For Customer Service - Voice Process ||  Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-genpact-is-hiring-for-customer-service-voice-process-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-240123007927
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,9 Days Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-240123007028
Talent Acquisition Specialist @ Scaler,Scaler Academy,2.7,2 Reviews,0-5 Yrs,"3,00,000 - 6,00,000 PA.","Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",5 Days Ago,https://www.naukri.com/job-listings-talent-acquisition-specialist-scaler-scaler-academy-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-280922011895
hiring For Customer Support Executive and Tele-sales,Careernet Technologies,,,0-3 Yrs,"50,000 - 3,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)(Airoli)",3 Days Ago,https://www.naukri.com/job-listings-hiring-for-customer-support-executive-and-tele-sales-careernet-technologies-bangalore-bengaluru-mumbai-all-areas-0-to-3-years-300123004333
Customer Service Associate,Manpowergroup Services India,,,0-2 Yrs,"1,25,000 - 3,50,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai, Bangalore/Bengaluru",1 Day Ago,https://www.naukri.com/job-listings-customer-service-associate-manpowergroup-services-india-mumbai-mumbai-suburban-navi-mumbai-bangalore-bengaluru-0-to-2-years-020223006421
Sr. Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-5 Yrs,"2,00,000 - 4,00,000 PA.",Mumbai (All Areas),3 Days Ago,https://www.naukri.com/job-listings-sr-customer-service-executive-teleperformance-tp-mumbai-all-areas-0-to-5-years-300123008444
Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-5 Yrs,"2,50,000 - 3,50,000 PA.",Mumbai,3 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-teleperformance-tp-mumbai-0-to-5-years-300123008410
Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-2 Yrs,"2,50,000 - 3,50,000 PA.","Mumbai, Mumbai Suburban",5 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-teleperformance-tp-mumbai-mumbai-suburban-0-to-2-years-170123006270
Assistant Professor- Special Education (Intellectual Disability),Amity University,3.8,786 Reviews,2-6 Yrs,Not disclosed,Noida,1 Day Ago,https://www.naukri.com/job-listings-assistant-professor-special-education-intellectual-disability-amity-university-noida-2-to-6-years-020223006403
Opening For People with Disability Only,Giftabled Foundation,3.5,4 Reviews,0-5 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",24 Days Ago,https://www.naukri.com/job-listings-opening-for-people-with-disability-only-giftabled-foundation-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-090123003904
Fullstack Software Developer opening For People with Disability Only,Giftabled Foundation,3.5,4 Reviews,2-6 Yrs,Not disclosed,"Hybrid - Pune, Bangalore/Bengaluru, Mumbai (All Areas)",13 Days Ago,https://www.naukri.com/job-listings-fullstack-software-developer-opening-for-people-with-disability-only-giftabled-foundation-pune-bangalore-bengaluru-mumbai-all-areas-2-to-6-years-200123012252
SBA/ AM/ Manager/ Senior Manager - Analytics - Group Disability,Huquo Consulting,,,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,2 Days Ago,https://www.naukri.com/job-listings-sba-am-manager-senior-manager-analytics-group-disability-huquo-consulting-gurgaon-gurugram-4-to-8-years-310123909606
SBA/AM/Manager/Senior Manager - Analytics - Group Disability,Huquo Consulting Pvt. Ltd,,,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago,https://www.naukri.com/job-listings-sba-am-manager-senior-manager-analytics-group-disability-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-8-years-300123907797
Intellectual Disability Service Manager -  Osborne,Osborne - Recruitment Consultancy,,,3-8 Yrs,Not disclosed,Chennai,30+ Days Ago,https://www.naukri.com/job-listings-intellectual-disability-service-manager-osborne-osborne-recruitment-consultancy-chennai-3-to-8-years-170418500830
Grade I ( Customer service executive),Teleperformance (TP),3.6,14571 Reviews,0-1 Yrs,Not disclosed,"Mumbai, Mohali, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",20 Days Ago,https://www.naukri.com/job-listings-grade-i-customer-service-executive-teleperformance-global-services-pvt-ltd-mumbai-mohali-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-0-to-1-years-130123910758
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,1 Day Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-020223006715
Marathi Opening For Customer Support- Voice Process,Teleperformance (TP),3.6,14571 Reviews,0-2 Yrs,"1,00,000 - 2,75,000 PA.","Bidar, Mumbai, Bangalore/Bengaluru(Bellandur +6), Belagavi/Belgaum",3 Days Ago,https://www.naukri.com/job-listings-marathi-opening-for-customer-support-voice-process-teleperformance-tp-bidar-mumbai-bangalore-bengaluru-belagavi-belgaum-0-to-2-years-300123002053
Genpact - Hiring For Customer Service -Non Voice Process,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-genpact-hiring-for-customer-service-non-voice-process-genpact-hyderabad-secunderabad-0-to-5-years-270123006951
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-230123011569
IT Hiring ONLY For PWD (Physical Disability) | Person With Disability,Rosh Services,,,2-7 Yrs,Not disclosed,"Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",29 Days Ago,https://www.naukri.com/job-listings-it-hiring-only-for-pwd-physical-disability-person-with-disability-rosh-services-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-2-to-7-years-221222012157
Genpact is Hiring For Customer Service - Voice Process ||  Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-genpact-is-hiring-for-customer-service-voice-process-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-240123007927
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,9 Days Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-240123007028
Talent Acquisition Specialist @ Scaler,Scaler Academy,2.7,2 Reviews,0-5 Yrs,"3,00,000 - 6,00,000 PA.","Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",5 Days Ago,https://www.naukri.com/job-listings-talent-acquisition-specialist-scaler-scaler-academy-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-280922011895
hiring For Customer Support Executive and Tele-sales,Careernet Technologies,,,0-3 Yrs,"50,000 - 3,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)(Airoli)",3 Days Ago,https://www.naukri.com/job-listings-hiring-for-customer-support-executive-and-tele-sales-careernet-technologies-bangalore-bengaluru-mumbai-all-areas-0-to-3-years-300123004333
Customer Service Associate,Manpowergroup Services India,,,0-2 Yrs,"1,25,000 - 3,50,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai, Bangalore/Bengaluru",1 Day Ago,https://www.naukri.com/job-listings-customer-service-associate-manpowergroup-services-india-mumbai-mumbai-suburban-navi-mumbai-bangalore-bengaluru-0-to-2-years-020223006421
Sr. Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-5 Yrs,"2,00,000 - 4,00,000 PA.",Mumbai (All Areas),3 Days Ago,https://www.naukri.com/job-listings-sr-customer-service-executive-teleperformance-tp-mumbai-all-areas-0-to-5-years-300123008444
Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-5 Yrs,"2,50,000 - 3,50,000 PA.",Mumbai,3 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-teleperformance-tp-mumbai-0-to-5-years-300123008410
Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-2 Yrs,"2,50,000 - 3,50,000 PA.","Mumbai, Mumbai Suburban",5 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-teleperformance-tp-mumbai-mumbai-suburban-0-to-2-years-170123006270
Assistant Professor- Special Education (Intellectual Disability),Amity University,3.8,786 Reviews,2-6 Yrs,Not disclosed,Noida,1 Day Ago,https://www.naukri.com/job-listings-assistant-professor-special-education-intellectual-disability-amity-university-noida-2-to-6-years-020223006403
Opening For People with Disability Only,Giftabled Foundation,3.5,4 Reviews,0-5 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",24 Days Ago,https://www.naukri.com/job-listings-opening-for-people-with-disability-only-giftabled-foundation-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-090123003904
Fullstack Software Developer opening For People with Disability Only,Giftabled Foundation,3.5,4 Reviews,2-6 Yrs,Not disclosed,"Hybrid - Pune, Bangalore/Bengaluru, Mumbai (All Areas)",13 Days Ago,https://www.naukri.com/job-listings-fullstack-software-developer-opening-for-people-with-disability-only-giftabled-foundation-pune-bangalore-bengaluru-mumbai-all-areas-2-to-6-years-200123012252
SBA/ AM/ Manager/ Senior Manager - Analytics - Group Disability,Huquo Consulting,,,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,2 Days Ago,https://www.naukri.com/job-listings-sba-am-manager-senior-manager-analytics-group-disability-huquo-consulting-gurgaon-gurugram-4-to-8-years-310123909606
SBA/AM/Manager/Senior Manager - Analytics - Group Disability,Huquo Consulting Pvt. Ltd,,,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago,https://www.naukri.com/job-listings-sba-am-manager-senior-manager-analytics-group-disability-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-8-years-300123907797
Intellectual Disability Service Manager -  Osborne,Osborne - Recruitment Consultancy,,,3-8 Yrs,Not disclosed,Chennai,30+ Days Ago,https://www.naukri.com/job-listings-intellectual-disability-service-manager-osborne-osborne-recruitment-consultancy-chennai-3-to-8-years-170418500830
Grade I ( Customer service executive),Teleperformance (TP),3.6,14571 Reviews,0-1 Yrs,Not disclosed,"Mumbai, Mohali, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",20 Days Ago,https://www.naukri.com/job-listings-grade-i-customer-service-executive-teleperformance-global-services-pvt-ltd-mumbai-mohali-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-0-to-1-years-130123910758
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,1 Day Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-020223006715
Marathi Opening For Customer Support- Voice Process,Teleperformance (TP),3.6,14571 Reviews,0-2 Yrs,"1,00,000 - 2,75,000 PA.","Bidar, Mumbai, Bangalore/Bengaluru(Bellandur +6), Belagavi/Belgaum",3 Days Ago,https://www.naukri.com/job-listings-marathi-opening-for-customer-support-voice-process-teleperformance-tp-bidar-mumbai-bangalore-bengaluru-belagavi-belgaum-0-to-2-years-300123002053
Genpact - Hiring For Customer Service -Non Voice Process,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-genpact-hiring-for-customer-service-non-voice-process-genpact-hyderabad-secunderabad-0-to-5-years-270123006951
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-230123011569
IT Hiring ONLY For PWD (Physical Disability) | Person With Disability,Rosh Services,,,2-7 Yrs,Not disclosed,"Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",29 Days Ago,https://www.naukri.com/job-listings-it-hiring-only-for-pwd-physical-disability-person-with-disability-rosh-services-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-2-to-7-years-221222012157
Genpact is Hiring For Customer Service - Voice Process ||  Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,6 Days Ago,https://www.naukri.com/job-listings-genpact-is-hiring-for-customer-service-voice-process-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-240123007927
Customer Service - Voice Process || Hindi & English ll Hyderabad,Genpact,4,19695 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,9 Days Ago,https://www.naukri.com/job-listings-customer-service-voice-process-hindi-english-ll-hyderabad-genpact-hyderabad-secunderabad-0-to-5-years-240123007028
Talent Acquisition Specialist @ Scaler,Scaler Academy,2.7,2 Reviews,0-5 Yrs,"3,00,000 - 6,00,000 PA.","Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",5 Days Ago,https://www.naukri.com/job-listings-talent-acquisition-specialist-scaler-scaler-academy-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-280922011895
hiring For Customer Support Executive and Tele-sales,Careernet Technologies,,,0-3 Yrs,"50,000 - 3,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)(Airoli)",3 Days Ago,https://www.naukri.com/job-listings-hiring-for-customer-support-executive-and-tele-sales-careernet-technologies-bangalore-bengaluru-mumbai-all-areas-0-to-3-years-300123004333
Customer Service Associate,Manpowergroup Services India,,,0-2 Yrs,"1,25,000 - 3,50,000 PA.","Mumbai, Mumbai Suburban, Navi Mumbai, Bangalore/Bengaluru",1 Day Ago,https://www.naukri.com/job-listings-customer-service-associate-manpowergroup-services-india-mumbai-mumbai-suburban-navi-mumbai-bangalore-bengaluru-0-to-2-years-020223006421
Sr. Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-5 Yrs,"2,00,000 - 4,00,000 PA.",Mumbai (All Areas),3 Days Ago,https://www.naukri.com/job-listings-sr-customer-service-executive-teleperformance-tp-mumbai-all-areas-0-to-5-years-300123008444
Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-5 Yrs,"2,50,000 - 3,50,000 PA.",Mumbai,3 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-teleperformance-tp-mumbai-0-to-5-years-300123008410
Customer Service Executive,Teleperformance (TP),3.6,14571 Reviews,0-2 Yrs,"2,50,000 - 3,50,000 PA.","Mumbai, Mumbai Suburban",5 Days Ago,https://www.naukri.com/job-listings-customer-service-executive-teleperformance-tp-mumbai-mumbai-suburban-0-to-2-years-170123006270
